_id,CURRENT BUILDING EVAL SCORE,FENCING,BUILDING CLEANLINESS,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,CLEANING LOG,PEST CONTROL LOG,MAINTENANCE LOG,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,INT. HALLWAY - WALLS / CEILING,LATITUDE,LONGITUDE
2321,75,2,3,2,3,3,3,3,1,3,2,43.6918123311,-79.4635662158
991,89,3,3,3,3,3,3,3,3,3,2,43.691863282,-79.396100397
1464,99,3,3,3,3,3,3,3,3,3,3,43.691914578,-79.342942945
992,87,3,3,2,3,3,3,3,1,3,2,43.691956596,-79.39570523
2339,93,3,3,3,3,3,3,3,3,0,3,43.691958774,-79.392829505
2322,80,2,3,3,3,2,3,3,1,3,2,43.6919981634,-79.4636000249
1242,80,1,2,2,1,3,3,3,1,3,1,43.69202835,-79.468140737
2423,72,2,1,3,3,1,2,2,3,2,1,43.6921471253,-79.4794625352
2422,69,2,1,2,3,2,0,0,0,0,2,43.6921996331,-79.4792336091
1193,93,3,3,2,2,3,3,3,3,3,2,43.6922338982,-79.2630193825
2421,88,3,3,3,3,1,3,3,3,3,3,43.6922639472,-79.4789792359
3453,88,2,3,2,3,3,3,3,3,3,3,43.692267101,-79.435055881
1054,92,3,2,3,1,3,3,3,3,3,2,43.6922807906,-79.2871199966
389,67,1,2,2,3,0,3,2,1,1,2,43.692294791,-79.482440365
2503,100,3,3,3,3,3,3,3,3,3,3,43.6923348201,-79.3435916097
1997,75,2,2,2,3,1,1,1,3,1,2,43.692368796,-79.302666418
2419,79,3,3,3,3,1,1,1,1,1,2,43.6924423305,-79.478539855
391,67,1,2,2,3,0,3,2,1,1,2,43.692447216,-79.482711179
2571,77,1,3,2,3,1,1,1,1,1,3,43.6926109398,-79.4780640156
392,88,1,3,3,3,3,3,3,3,3,3,43.692623122,-79.48295506
2947,96,3,3,3,3,3,3,3,3,3,3,43.692655337,-79.397322698
993,85,2,3,3,3,1,1,1,3,2,2,43.692681862,-79.396819192
2420,85,1,3,3,3,3,3,3,3,3,2,43.6926919823,-79.4790165335
393,90,3,2,3,3,3,3,3,3,3,2,43.692772378,-79.483091733
2786,84,2,2,2,3,1,1,1,1,3,2,43.6927850495,-79.4417092331
384,89,3,3,3,3,3,3,3,3,3,3,43.69278743,-79.4796635822
388,92,2,3,3,3,1,3,3,1,3,3,43.69279777,-79.481595405
1996,89,3,3,1,2,2,2,1,3,2,1,43.6928803857,-79.4420432539
2418,83,3,2,2,3,1,2,3,3,3,2,43.6929246755,-79.4786023031
2481,86,2,3,3,3,3,3,3,3,3,2,43.6929377292,-79.454744586
387,83,3,3,2,3,3,1,1,1,1,3,43.692977471,-79.48134741
386,91,2,3,3,3,3,3,3,3,3,2,43.693048881,-79.480938758
390,83,2,2,2,3,2,1,1,1,1,3,43.693064312,-79.482178967
385,92,3,3,3,3,3,3,3,3,3,3,43.6930985864,-79.480237838
2575,76,3,2,3,3,3,1,1,1,1,2,43.6931177015,-79.4834759702
1448,92,2,3,3,3,1,3,3,1,3,2,43.6931197205,-79.4688639232
994,95,3,3,3,3,1,1,3,3,3,3,43.693121197,-79.396330967
