_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
857,GO-2022996418,2022,2022-05-27,1041,2022,2022-05-27,1041,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),No
858,GO-20221019688,2022,2022-05-30,1555,2022,2022-05-30,1555,D52,Other Commercial / Corporate Places ,NO,NO,Black,None,None,None,None,None,No,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),Yes
859,GO-20221028472,2022,2022-05-31,1500,2022,2022-05-31,1832,D43,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,None,Gay,None,No,Criminal Harassment,139,Scarborough Village (139),139,Scarborough Village (139),No
860,GO-20221046731,2022,2022-06-01,1500,2022,2022-06-03,1136,D41,Streets/Roadways/Highway,NO,NO,None,None,None,None,2SLGBTQ+,None,No,Assault,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),No
861,GO-20221040715,2022,2022-06-02,1215,2022,2022-06-02,1402,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),Yes
862,GO-20221069599,2022,2022-06-02,1600,2022,2022-06-06,1352,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,2SLGBTQ+,None,Yes,Mischief Under $5000,157,Bendale South (157),127,Bendale (127),No
863,GO-20221072111,2022,2022-06-06,200,2022,2022-06-06,1851,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),Yes
864,GO-20221070240,2022,2022-06-06,1420,2022,2022-06-06,1420,D52,Business/Retail,NO,NO,None,None,None,None,2SLGBTQ+,None,No,Uttering Threats - Bodily Harm,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),No
865,GO-20221078809,2022,2022-06-07,1933,2022,2022-06-07,1933,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,None,None,None,None,2SLGBTQ+,None,No,Mischief Interfere With Property,057,Broadview North (57),057,Broadview North (57),No
866,GO-20221090781,2022,2022-06-08,1200,2022,2022-06-09,822,D31,NA,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),Yes
